iter	Logloss
0	0.6697436181
1	0.6483004885
2	0.6292541346
3	0.6125854121
4	0.597400725
5	0.5837746882
6	0.5714044338
7	0.5611567265
8	0.5513357728
9	0.5428003762
10	0.5347874724
11	0.5281449308
12	0.5234106891
13	0.5178244457
14	0.5126504324
15	0.5082150938
16	0.5042150679
17	0.5003990043
18	0.4970844613
19	0.4943343441
20	0.4914168688
21	0.4889672002
22	0.4869799283
23	0.4849754067
24	0.4831802413
25	0.4814924245
26	0.4799375466
27	0.4782116879
28	0.4768376714
29	0.4756118633
30	0.4744056324
31	0.4732632251
32	0.4722919258
33	0.4713807183
34	0.4705676378
35	0.4697796576
36	0.4691466544
37	0.4685713847
38	0.4679046857
39	0.4672769589
40	0.4667464105
41	0.4661990533
42	0.4657774715
43	0.4654028549
44	0.4649267589
45	0.4644944355
46	0.4640928546
47	0.4636712503
48	0.4632820269
49	0.4628675421
50	0.4625422852
51	0.4621840833
52	0.4618613572
53	0.4615864614
54	0.4612881308
55	0.4610627906
56	0.460819754
57	0.4606012517
58	0.4603819901
59	0.4601408367
60	0.4598797942
61	0.4596718754
62	0.4594338024
63	0.4591844823
64	0.4590080977
65	0.4588762635
66	0.458719989
67	0.4585873181
68	0.4584399977
69	0.4582368588
70	0.4580563989
71	0.4579498356
72	0.4577743725
73	0.4576107745
74	0.4574700586
75	0.4573207948
76	0.4571880878
77	0.4570696294
78	0.4569308262
79	0.4567703184
80	0.4566556259
81	0.456544875
82	0.4564149197
83	0.4562725619
84	0.456144658
85	0.4560020803
86	0.4558577939
87	0.455737472
88	0.4556584748
89	0.4555443514
90	0.4554580112
91	0.4553795005
92	0.455251029
93	0.4551682518
94	0.4550704602
95	0.4549551778
96	0.4548422274
97	0.454754912
98	0.4546422335
99	0.4545950288
100	0.4545137721
101	0.4544291482
102	0.454317704
103	0.4542127702
104	0.4541114883
105	0.4540261289
106	0.4539338214
107	0.4538302055
108	0.4537517893
109	0.4536528606
110	0.453551751
111	0.453479628
112	0.4534128298
113	0.4533081544
114	0.4532294524
115	0.4531583163
116	0.4530679467
117	0.4529973512
118	0.4529026876
119	0.4528242903
120	0.4526833356
121	0.4525777504
122	0.4524822314
123	0.4523904063
124	0.4523155314
125	0.452208973
126	0.452152104
127	0.4520645677
128	0.4519717695
129	0.4518810169
130	0.4518098368
131	0.4517415815
132	0.4516384313
133	0.451562973
134	0.4514878364
135	0.4514095269
136	0.4513450564
137	0.4512916201
138	0.4512177736
139	0.4511624872
140	0.4511433584
141	0.4510963406
142	0.4510102849
143	0.4509760527
144	0.4508741153
145	0.4508037624
146	0.4506977065
147	0.4506515459
148	0.4506076628
149	0.4505643588
150	0.4504817779
151	0.450388718
152	0.4503130634
153	0.4502142777
154	0.4501473399
155	0.45007567
156	0.4500494156
157	0.4499771894
158	0.4498900116
159	0.4498604968
160	0.4497955738
161	0.4497322332
162	0.4496578827
163	0.4496010061
164	0.449562884
165	0.4494975718
166	0.4494558321
167	0.4494484341
168	0.4493717266
169	0.449305778
170	0.4492592624
171	0.4491888562
172	0.4491194957
173	0.4490738004
174	0.4490386704
175	0.4490150688
176	0.4489658244
177	0.4489038034
178	0.4488610829
179	0.448812194
180	0.4487435402
181	0.4486856591
182	0.4486117194
183	0.4485322709
184	0.448492618
185	0.4484587843
186	0.448412953
187	0.4483402269
188	0.4482831714
189	0.4482125767
190	0.4481578104
191	0.4480909198
192	0.4480428633
193	0.4479889531
194	0.4479522677
195	0.4478980285
196	0.447864239
197	0.4478287531
198	0.4477585614
199	0.4476963607
200	0.4476567977
201	0.4475807389
202	0.4475200239
203	0.4474855914
204	0.4474832511
205	0.4474187406
206	0.4473567814
207	0.4472697425
208	0.4472175683
209	0.4471369612
210	0.4470745375
211	0.4470475507
212	0.4469889138
213	0.4469306507
214	0.4468902828
215	0.4468198264
216	0.4467580384
217	0.4466847362
218	0.4466290378
219	0.4465852445
220	0.4465411325
221	0.4464960772
222	0.4464138858
223	0.4463328266
224	0.4463050792
225	0.4462645078
226	0.4462017492
227	0.4461610292
228	0.4460948345
229	0.4460755344
230	0.4460084279
231	0.4459732667
232	0.445927795
233	0.4458648387
234	0.4458334076
235	0.4457710407
236	0.4457120385
237	0.4456499091
238	0.445570209
239	0.4455260514
240	0.4454527185
241	0.4453785873
242	0.4453362606
243	0.4452707286
244	0.4452661389
245	0.4451966392
246	0.4451397487
247	0.4450864794
248	0.4450058904
249	0.4449347469
250	0.4448842731
251	0.4448356473
252	0.4447810149
253	0.4447390866
254	0.4446852227
255	0.4445903004
256	0.4445435108
257	0.4444736587
258	0.4444172074
259	0.4443750388
260	0.4443075144
261	0.4442380736
262	0.4441709933
263	0.4441134743
264	0.4440666078
265	0.4440102684
266	0.4439402972
267	0.4438532739
268	0.4437952028
269	0.4437293508
270	0.4436893676
271	0.4436199611
272	0.443550751
273	0.4434645772
274	0.4434045199
275	0.443325602
276	0.4432838581
277	0.4432221195
278	0.4431856335
279	0.4431823881
280	0.4431236365
281	0.4430993992
282	0.4430095366
283	0.4429395885
284	0.4428889466
285	0.4428397832
286	0.4427814549
287	0.4427145775
288	0.4426753369
289	0.4426056058
290	0.4425542229
291	0.4424691436
292	0.4424116191
293	0.4423740877
294	0.4423240698
295	0.4422671584
296	0.4422280713
297	0.4421581738
298	0.4420989637
299	0.4420374729
300	0.4419559043
301	0.4418797133
302	0.4418005089
303	0.4417612088
304	0.4417323801
305	0.4416755301
306	0.4416182261
307	0.4415530753
308	0.4414885488
309	0.4414537062
310	0.4413771708
311	0.4413735795
312	0.4413135809
313	0.4412265532
314	0.4411541613
315	0.4411527901
316	0.4410784394
317	0.4410579329
318	0.4409862085
319	0.44091762
320	0.4408560302
321	0.4408148806
322	0.440812451
323	0.4407567059
324	0.4406791102
325	0.4406215404
326	0.4405725448
327	0.4405183818
328	0.4405160166
329	0.4405140051
330	0.4404324432
331	0.4403681028
332	0.4403248406
333	0.4402589751
334	0.4401905142
335	0.4401308176
336	0.4401293525
337	0.4400892867
338	0.4400452261
339	0.4399935631
340	0.4399899847
341	0.4399556212
342	0.4398762442
343	0.4398414511
344	0.4397901778
345	0.4397881088
346	0.4397463654
347	0.4396975251
348	0.4396359416
349	0.4395712421
350	0.4395073783
351	0.4394454025
352	0.4393733679
353	0.4393700148
354	0.4392977202
355	0.439256239
356	0.439230216
357	0.4391784418
358	0.4391255899
359	0.4390596725
360	0.4389848732
361	0.4389492614
362	0.4388780164
363	0.438826984
364	0.4388131054
365	0.438738685
366	0.4386859507
367	0.4386455748
368	0.4386059569
369	0.4385692734
370	0.4384941997
371	0.438459575
372	0.4383987764
373	0.4383465234
374	0.4382794026
375	0.4382731432
376	0.4382037301
377	0.4382008093
